UserID,action,horreur,policier,romantique,dessin_anime,age,bac,sexe
1,1,0,0,1,1,1,10,0
2,1,1,0,1,0,56,16,1
3,1,0,0,1,0,25,15,1
4,1,1,0,1,0,45,7,1
5,1,1,0,1,0,25,20,1
6,1,0,0,1,1,50,9,0
7,1,1,0,1,0,35,1,1
8,1,1,0,1,0,25,12,1
9,1,1,1,1,0,25,17,1
10,1,1,0,1,1,35,1,0
11,0,1,0,1,0,25,1,0
12,1,0,1,1,0,25,12,1
13,1,0,0,1,0,45,1,1
14,1,0,1,1,0,35,0,1
15,1,1,1,1,0,25,7,1
16,1,1,0,1,1,35,0,0
17,1,1,1,1,0,50,1,1
18,1,0,1,1,1,18,3,0
19,1,1,0,1,1,1,10,1
20,1,1,1,1,0,25,14,1
21,1,0,0,1,1,18,16,1
22,1,1,1,1,1,18,15,1
23,1,1,1,1,0,35,0,1
24,1,0,0,1,0,25,7,0
25,1,1,0,1,0,18,4,1
26,1,0,0,1,0,25,7,1
27,1,1,1,1,0,25,11,1
28,1,1,0,1,0,25,1,0
29,1,1,0,1,0,35,7,1
30,1,1,0,1,0,35,7,0
31,1,1,1,1,1,56,7,1
32,1,1,0,1,0,25,0,0
33,1,1,1,1,0,45,3,1
34,1,1,0,1,0,18,0,0
35,1,0,0,1,0,45,1,1
36,1,1,1,1,0,25,3,1
37,1,0,0,1,0,25,9,0
38,0,0,0,1,0,18,4,0
39,1,1,1,1,1,18,4,1
40,1,0,0,1,0,45,0,1
41,1,1,0,1,1,18,4,0
42,1,1,0,1,0,25,8,1
43,1,1,0,1,0,25,12,1
44,1,1,0,1,1,45,17,1
45,0,0,0,1,0,45,16,0
46,0,1,0,0,0,18,19,1
47,0,0,0,1,0,18,4,1
48,1,1,1,1,1,25,4,1
49,1,1,1,1,1,18,12,1
50,1,1,0,1,0,25,2,0
51,0,1,0,1,1,1,10,0
52,1,1,0,1,0,18,4,1
53,1,1,1,1,0,25,0,1
54,1,0,0,1,0,50,1,1
55,1,1,0,1,1,35,12,0
56,1,1,1,1,0,35,20,1
57,1,1,0,1,1,18,19,1
58,1,1,1,1,0,25,2,1
59,1,0,0,1,0,50,1,0
60,1,1,1,1,1,50,1,1
61,1,1,0,1,0,25,17,1
62,1,1,0,1,0,35,3,0
63,1,1,1,1,0,18,4,1
64,1,1,0,1,0,18,1,1
65,1,1,0,1,0,35,12,1
66,1,0,0,1,0,25,18,1
67,0,0,0,1,0,50,5,0
68,1,0,0,1,1,18,4,1
69,0,0,0,1,0,25,1,0
70,1,1,0,1,1,18,4,1
71,1,1,1,1,0,25,14,1
72,1,0,0,1,0,45,0,0
73,1,1,0,1,0,18,4,1
74,0,1,1,1,0,35,14,1
75,1,0,0,0,1,1,10,0
76,1,1,1,1,0,35,7,1
77,1,1,0,1,1,18,4,1
78,0,0,0,1,1,45,1,0
79,1,1,1,1,0,45,0,0
80,1,0,0,1,0,56,1,1
81,1,1,1,1,0,25,0,0
82,1,1,1,1,0,25,17,1
83,1,1,0,1,1,25,2,0
84,1,1,0,1,0,18,4,1
85,1,1,0,1,0,18,4,1
86,1,1,0,1,1,1,10,0
87,1,1,0,1,0,25,14,1
88,0,0,0,1,0,45,1,0
89,1,0,0,1,0,56,9,0
90,1,1,1,1,0,56,13,1
91,1,0,1,1,0,35,7,1
92,1,1,0,1,1,18,4,0
93,1,1,0,1,0,25,17,1
94,1,1,0,0,0,25,17,1
95,1,1,1,1,0,45,0,1
96,1,1,0,1,0,25,16,0
97,1,1,1,1,0,35,3,0
98,1,0,1,1,0,35,7,0
99,1,1,1,1,1,1,10,0
100,1,0,1,1,0,35,17,1
101,1,1,0,1,0,18,3,0
102,1,1,1,1,0,35,19,1
103,1,1,0,1,0,45,7,1
104,1,1,1,1,0,25,12,1
105,1,1,0,1,0,45,12,1
106,0,0,0,1,0,35,11,0
107,1,1,1,1,0,45,18,1
108,1,1,0,1,0,25,12,1
109,1,0,0,1,1,45,15,1
110,1,1,1,1,0,25,2,1
111,0,0,0,1,0,35,15,1
